drugCode,productCategorization,class,DIN,brandName,descriptor,pediatricFlag,accessionNumber,numberOfAIs,lastUpdateDate,aIGroupNumber
"10399","","Human","00585009","PMS-METHYLPHENIDATE","","N","70227","1","09-JUL-2015","0107548002"
"10425","","Disinfectant","00872989","DUOQUAT LIQ","","N","70258","2","13-JUL-2011","0205019002"
"10426","","Veterinary","00797189","DENAGARD SOLUBLE POWDER","","N","70260","1","05-MAY-2015","0128684003"
"10429","","Disinfectant","00868736","AIRX 109 SUPER CONCENTRATE LIQ W.E. GREER","","N","70263","2","29-SEP-2010","0205019013"
"10433","","Human","00789739","SUPEUDOL 5","","N","70273","1","29-APR-2015","0107552003"
"10435","","Human","00779121","NYADERM ORAL SUS 100000UNIT/ML USP","","N","70276","1","12-MAY-2005","0105858002"
"10438","","Human","00060704","DEXTROSE 5% AND 0.2% SOD CHLORIDE INJ","","N","70283","2","22-JUN-2006","0200203004"
"10439","","Human","00060739","DEXTROSE 5% AND 0.45% SOD CHLORIDE INJ","","N","70284","2","22-JUN-2006","0200203002"
"10440","","Human","00060747","DEXTROSE 5% AND 0.9% SOD CHLORIDE INJ","","N","70285","2","22-JUN-2006","0200203001"
"10441","","Human","00060755","DEXTROSE 10% AND 0.9% SOD CHLORIDE INJ","","N","70286","2","22-JUN-2006","0200203005"
"10442","","Human","00060186","SODIUM CHLORIDE 0.45% INJ","","N","70287","1","16-JUN-2006","0100053005"
"10450","","Human","00792691","PDP-ACETAMINOPHEN SOLUTION 160MG/5ML","","N","70299","1","29-SEP-2015","0102009005"
"10451","","Human","00792713","PDP-ACETAMINOPHEN SOLUTION 80MG/5ML","","N","70300","1","29-SEP-2015","0102009004"
"10456","","Veterinary","00813575","ANTIROBE AQUADROPS","","N","70305","1","05-MAY-2015","0105830005"
"10457","","Veterinary","00813605","LUTALYSE","","N","70306","1","05-MAY-2015","0131402001"
"10471","","Disinfectant","00792527","COSAN #160 DISINFECTANT","","N","70364","2","20-NOV-2009","0205019002"
"10485","","Human","00705799","STATEX DPS 50MG/ML","","N","70388","1","08-SEP-2010","0104545006"
"10486","","Human","00792705","PMS-DIPHENHYDRAMINE ELIXIR 2.5MG/ML","","N","70389","1","12-JUL-2012","0102639003"
"10488","","Human","00755575","MODECATE CONCENTRATE","","N","70394","1","05-MAY-2015","0110769002"
"10490","","Disinfectant","00765236","RINSOL 9000 DISINFECT","","N","70396","2","09-JAN-2015","0205019002"
"10491","","Disinfectant","00772682","RINSOL 4500 DISINFECT","","N","70397","2","25-JAN-2004","0205019005"
"10492","","Human","00860786","PREPIDIL GEL","","N","70398","1","26-SEP-2006","0111999005"
"10494","","Human","00784400","APO-AMILZIDE TAB","","N","70402","2","03-SEP-2009","0213868001"
"10495","","Human","00842826","APO-METOCLOP TAB 5MG","","N","70403","1","03-MAR-2006","0109394003"
"10496","","Human","00842834","APO-METOCLOP TAB 10MG","","N","70404","1","03-MAR-2006","0109394001"
"10497","","Human","00060313","ANTICOAGULANT SOD CITRATE SOLTN 4GM/100ML","","N","70405","1","08-JUN-2012","0100377001"
"10509","","Human","00804789","POTASSIUM PHOSPHATES","","N","70427","2","29-APR-2015","0207483001"
"10510","","Veterinary","00857629","POLYFLEX","AMPICILLIN FOR INJECTABLE SUSPENSION USP","N","70436","1","05-MAY-2015","0105872009"
"10511","","Human","00060348","DEXTROSE 5% INJ 5GM/100ML USP","","N","70437","1","22-JUN-2006","0102181006"
"10512","","Human","00799793","DIANEAL PD 101 CAPD SOLUTION W 0.5% DEXTROSE","","N","70439","5","28-MAY-2009","0500162015"
"10515","","Human","00060712","DEXTROSE 3.3% AND 0.3% SOD CHLORIDE INJ","","N","70442","2","22-JUN-2006","0200203006"
"10516","","Human","00060437","OSMITROL 20% INJ USP","","N","70443","1","12-AUG-2009","0103277003"
"10517","","Human","00060410","OSMITROL 10% INJ USP","","N","70444","1","12-AUG-2009","0103277002"
"10519","","Human","00828602","LIDOCAINE HCL 0.4% AND 5% DEXTROSE INJ","","N","70446","2","22-JUN-2006","0201281001"
"10521","","Human","00828750","HEPARIN SOD AND 0.9% SOD CHLORIDE INJ","","N","70448","2","21-SEP-2006","0231405001"
"10523","","Human","00868965","SUPRAX","","N","70451","1","15-OCT-2008","0122105001"
"10525","","Human","00868981","SUPRAX","","N","70453","1","01-MAR-2007","0122105003"
"10526","","Human","00453811","HEPARIN LEO INJ 1000UNIT/ML","","N","70454","1","25-JUL-2005","0104596004"
"10533","","Human","00782696","CLARITIN","","N","70466","1","26-AUG-2015","0120416001"
"10535","","Human","00846465","APO-SULFATRIM ORAL SUSPENSION","","N","70471","2","13-APR-2016","0208901006"
"10545","","Human","00832804","CECLOR","","N","70488","1","14-MAR-2016","0113428002"
"10546","","Veterinary","00670936","ADEQUAN I.A.","","N","70489","1","31-JUL-2013","0117650002"
"10552","","Veterinary","00818542","APRALAN","APRAMYCIN SULFATE SOLUBLE POWDER","N","70499","1","10-SEP-2013","0131406002"
"10565","","Human","00873195","CETRIMIDE TINCTURE 0.5%","","N","70553","1","12-APR-1999","0106863001"
"10567","","Human","00869961","MESTINON TAB 60MG USP","","N","70561","1","12-DEC-2005","0107514003"
"10569","","Human","00842044","NOVO-DOCUSATE CALCIUM","","N","70564","1","29-APR-2015","0117478001"
"10575","","Human","00848417","PMS-DOCUSATE SODIUM","","N","70572","1","29-APR-2015","0104351005"
"10602","","Human","00792594","TETRACYCLINE 1% ONGUENT OPHTHALMIC","","N","70601","1","13-DEC-2005","0105499001"
"1062","","Human","00070254","CORA CAINE","","N","35088","2","11-AUG-2006","0204988001"
"10664","","Human","00812404","APO-TAMOX TAB 10MG","","N","70667","1","21-JUN-2007","0131293001"
"10665","","Human","00786616","BRICANYL TURBUHALER","","N","70668","1","06-JAN-2012","0110482003"
"10666","","Human","00851752","PULMICORT TURBUHALER 200 MCG/DOSE","","N","70669","1","12-AUG-2008","0116807001"
"10667","","Human","00852074","PULMICORT TURBUHALER 100 MCG/DOSE","","N","70670","1","07-MAR-2006","0116807002"
"10668","","Human","00832111","DEXIDIN LIQ 4%","","N","70671","1","22-OCT-2012","0107629001"
"10669","","Human","00832138","DEXIDIN 2 DETERGENT","","N","70672","1","22-OCT-2012","0107629004"
"10672","","Veterinary","00845000","TORBUGESIC","","N","70676","1","05-MAY-2015","0131407001"
"10673","","Human","00866598","X-SEB PLUS CONDITIONING SHAMPOO","","N","70677","2","12-JUL-2012","0222057001"
"10674","","Human","00866601","X-SEB T PLUS CONDITIONING SHAMPOO","","N","70678","3","12-JUL-2012","0320842002"
"10675","","Human","00823023","JACK & JILL CHILDREN`S FORMULA COUGH LIQUID","","N","70680","2","11-JUL-2012","0231408001"
"10686","","Disinfectant","00888001","PINE-A-BAC LIQUID","","N","70696","1","27-JUL-2006","0104993006"
"10687","","Veterinary","00781851","CHORULON","","N","70697","1","13-FEB-2012","0106481001"
"10688","","Veterinary","00806285","FOLLIGON","","N","70698","1","04-FEB-2013","0106482001"
"10705","","Human","00614262","NITROJECT INJ 1MG/ML","","N","70727","1","12-APR-2006","0103615004"
"10706","","Human","00778869","NITROJECT INJ 5MG/ML","","N","70728","1","12-APR-2006","0103615007"
"10707","","Human","00873454","ERYC DELAYED-RELEASE CAPSULES","","N","70729","1","29-APR-2015","0105708013"
"10708","","Human","00739162","PMS-BETHANECHOL CHLORIDE TAB 25MG","","N","70731","1","28-MAR-2006","0107779004"
"10709","","Human","00759171","PMS-BETHANECHOL CHLORIDE TAB 10MG","","N","70732","1","28-MAR-2006","0107779001"
"10710","","Human","00759198","PMS-BETHANECHOL CHLORIDE TAB 50MG","","N","70733","1","28-MAR-2006","0107779003"
"10711","","Human","00785547","ASA SUPPOSITORIES 150MG","","N","70734","1","12-JUL-2012","0101169010"
"10712","","Human","00582867","ASA SUPPOSITORIES 650MG","","N","70735","1","12-JUL-2012","0101169002"
"10748","","Human","00611174","LOTRIDERM CREAM","","N","70771","2","28-FEB-2013","0216399001"
"10751","","Human","00805025","RATIO-GENTAMICIN","","N","70776","1","08-FEB-2006","0105695001"
"10752","","Human","00805386","RATIO-GENTAMICIN","","N","70777","1","17-FEB-2006","0105695001"
"10762","","Human","00812390","APO-TAMOX TAB 20MG","","N","70791","1","21-JUN-2007","0131293002"
"10767","","Human","00658413","BAXEDIN LIQ 20%","","N","70802","1","01-FEB-2016","0107629002"
"10770","","Human","00821780","CALCIJECT INJ 100MG/ML","","N","70811","1","25-FEB-2009","0108565001"
"10772","","Human","00870978","DICLOFENAC ECT 50MG","","N","70813","1","29-NOV-2011","0114417002"
"10777","","Veterinary","00817112","OTOMAX","","N","70819","3","12-APR-2013","0351081001"
"10781","","Veterinary","00828920","DEPO-MEDROL","","N","70824","1","28-OCT-2015","0106292002"
"10785","","Veterinary","00813893","LINCO-SPECTIN","","N","70830","2","26-MAR-2015","0228437004"
"1079","","Veterinary","00170925","VANECTYL-P","","N","35308","2","17-MAR-2016","0206201001"
"10790","","Human","00851965","TEVA-TAMOXIFEN","","N","70837","1","05-MAY-2015","0131293001"
"10791","","Human","00851973","TEVA-TAMOXIFEN","","N","70838","1","05-MAY-2015","0131293002"
"10794","","Veterinary","00859613","REVIBE","","N","70845","7","21-MAY-2015","0753047001"
"10804","","Veterinary","00835463","UDDER BALM ONT 0.14%","","N","70888","1","12-SEP-2004","0108833001"
"10806","","Human","00870943","AMI-HYDRO TAB","","N","70890","2","03-SEP-2009","0213868001"
"10817","","Veterinary","00813877","SPECIAL FORMULA 17900-FORTE","","N","70903","6","08-FEB-2016","0605764001"
"10820","","Human","00890197","ACID CONCENTRATE D12207","","N","70911","6","28-JUL-2015","0617386352"
"10828","","Human","00882801","APO-PRAZO TAB 1MG","","N","70921","1","10-AUG-2009","0111527001"
"10829","","Human","00882828","APO-PRAZO TAB 2MG","","N","70922","1","10-AUG-2009","0111527002"
"10830","","Human","00882836","APO-PRAZO TAB 5MG","","N","70923","1","10-AUG-2009","0111527003"
"10832","","Human","00577308","ZADITEN","","N","70931","1","06-MAY-2015","0115676001"
"10834","","Human","00720941","EUGLUCON","","N","70933","1","29-MAR-2006","0108708001"
"10838","","Veterinary","00603724","POSISTAC 6%","","N","70941","1","05-MAY-2015","0116259002"
"1084","","Human","00010391","SINTROM","","N","35493","1","13-APR-2010","0104595002"
"10851","","Veterinary","00857602","MICOTIL (TILMICOSIN INJECTION)","","N","70958","1","03-SEP-2013","0121139001"
"10853","","Veterinary","00788732","UDDERGOLD GERMICIDAL BARRIER TEAT DIP","","N","70960","2","29-APR-2013","0220524001"
"1086","","Human","00023698","DILANTIN INFATABS","","N","35496","1","29-APR-2015","0101372003"
"10860","","Human","00600784","ZADITEN","","N","70973","1","05-MAY-2015","0115676002"
"10862","","Human","00060925","RINGER`S INJ","","N","70978","3","25-FEB-2009","0300137001"
"10863","","Human","00865095","DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM","","N","70980","5","28-MAY-2009","0500162036"
"10864","","Human","00865109","DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM","","N","70981","5","02-MAR-2012","0500162032"
"10865","","Human","00865117","DIANEAL PD4 CAPD SOLUTION WITH 4.25% DEXTROSE AND 2.5MEQ/L CALCIUM","","N","70982","5","27-JAN-2010","0500162030"
"10866","","Human","00786292","(20 MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.9% SODIUM CHLORIDE INJECTION USP","","N","70987","3","07-MAY-2013","0300097006"
"10867","","Human","00786306","POTASS CHLOR 40MEQ 5% DEX AND 0.9% SOD CHLOR","","N","70988","3","23-JUN-2006","0300097007"
"10871","","Human","00870420","METRONIDAZOLE 5 MG/ML INJECTION","","N","70992","1","05-MAY-2015","0102572002"
"10873","","Disinfectant","00778001","IOCIDE","","N","70996","1","27-JUL-2011","0109444001"
"10874","","Human","00757683","PMS-DIPHENHYDRAMINE CAP 25MG","","N","70998","1","12-JUL-2012","0102639002"
"10875","","Human","00757691","PMS-DIPHENHYDRAMINE CAP 50MG","","N","70999","1","12-JUL-2012","0102639001"
"10876","","Human","00868906","PMS-NEOSTIGMINE METHYLSULFATE INJ 0.5MG/ML","","N","71000","1","02-SEP-1999","0102263002"
"10877","","Human","00868930","PMS-NEOSTIGMINE METHYLSULFATE INJ 1MG/ML","","N","71001","1","02-SEP-1999","0102263003"
"10878","","Human","00880140","PMS-DOCUSATE SODIUM DROPS 10MG/ML","","N","71002","1","12-JUL-2012","0104351004"
"10883","","Human","00830208","CONGEST TAB 2.5MG","","N","71008","1","17-MAY-2002","0106442004"
"10884","","Human","00830216","CONGEST TAB 1.25MG","","N","71009","1","17-MAY-2002","0106442003"
"10885","","Human","00830224","CONGEST TAB 0.9MG","","N","71010","1","22-NOV-2008","0106442007"
"10886","","Human","00830232","CONGEST TAB 0.625MG","","N","71011","1","22-NOV-2008","0106442006"
"10887","","Human","00830240","CONGEST TAB 0.3MG","","N","71012","1","19-OCT-2009","0106442002"
"10897","","Human","00887064","DOXYTAB 100MG","","N","71030","1","07-MAR-2006","0131288002"
"10899","","Human","00860697","CLORAZEPATE","","N","71032","1","17-JUL-2013","0108895003"
"1090","","Human","00065927","NEO-LARYNGOBIS","","N","35512","1","29-APR-2015","0108681002"
"10900","","Human","00893625","APO-CAPTO TAB 100MG","","N","71033","1","21-SEP-2009","0114954003"
"10902","","Human","00860689","CLORAZEPATE","","N","71035","1","17-JUL-2013","0108895001"
"10903","","Human","00860700","CLORAZEPATE","","N","71036","1","17-JUL-2013","0108895002"
"10904","","Human","00865397","APO-ALPRAZ TAB 0.25MG","","N","71037","1","02-OCT-2010","0115008001"
"10905","","Human","00865400","APO-ALPRAZ TAB 0.5MG","","N","71038","1","08-MAR-2006","0115008002"
"10906","","Human","00893595","APO-CAPTO TAB 12.5MG","","N","71039","1","21-SEP-2009","0114954004"
"10907","","Human","00893609","APO-CAPTO TAB 25MG","","N","71040","1","21-SEP-2009","0114954001"
"10908","","Human","00893617","APO-CAPTO TAB 50MG","","N","71041","1","21-SEP-2009","0114954002"
"10909","","Human","00868949","APO-CLONIDINE TAB 0.1MG","","N","71042","1","07-FEB-2008","0108891001"
"10910","","Human","00868957","APO-CLONIDINE TAB 0.2MG","","N","71043","1","07-FEB-2008","0108891002"
"10912","","Human","00874949","LIDOMYXIN","","N","71050","2","29-APR-2015","0231410001"
"10913","","Human","00657298","VASERETIC","","N","71053","2","03-SEP-2009","0252326001"
"10918","","Human","00765996","DIAMICRON TAB 80MG","","N","71061","1","31-JUL-2007","0119934001"
"10924","","Human","00060879","ALCOHOL 5% AND DEXTROSE 5% INJ USP","","N","71073","2","08-SEP-2004","0202193001"
"10926","","Human","00786179","DEXTROSE 5% AND SOD CHLORIDE 0.33% INJ USP","","N","71075","2","08-SEP-2004","0200203008"
"10927","","Human","00786187","POTASS CHLORIDE 10MEQ IN 5% DEXTROSE INJ USP","","N","71076","2","08-SEP-2004","0200305004"
"10928","","Human","00786195","POTASS CHLORIDE 30MEQ IN 5% DEXTROSE INJ USP","","N","71077","2","08-SEP-2004","0200305002"
"10929","","Human","00786225","POTASS CHLOR 10MEQ 5% DEX AND 0.2% SOD CHLOR","","N","71078","3","08-SEP-2004","0300097008"
"10930","","Human","00786233","POTAS CHLOR 30MEQ 5% DEX AND 0.2% SOD CHLOR","","N","71079","3","08-SEP-2004","0300097009"
"10931","","Human","00503150","POTASS CHLOR 40MEQ 5% DEX AND 0.2% SOD CHLOR","","N","71080","3","23-JUN-2006","0300097021"
"10932","","Human","00786241","POTASSIUM 20MEQ 5% DEXTROSE AND 0.33% SODIUM CHLORIDE","","N","71081","3","08-SEP-2004","0300097022"
"10933","","Human","00786268","POTASS CHLOR 30MEQ 5% DEX AND 0.33% SOD CHLOR","","N","71082","3","08-SEP-2004","0300097010"
"10934","","Human","00786276","POTASS CHLOR 40MEQ 5% DEX AND 0.33% SOD CHLOR","","N","71083","3","08-SEP-2004","0300097011"
"10935","","Human","00786284","POTASS CHLOR 30MEQ 5% DEX AND 0.45% SOD CHLOR","","N","71084","3","08-SEP-2004","0300097020"
"10936","","Human","00786314","POTAS CHLOR 20MEQ 5% DEX AND LACTATE RINGER","","N","71085","5","25-FEB-2009","0500106007"
"10937","","Human","00786322","POTASSIUM CHLOR 40MEQ 5% DEX & LAC RING","","N","71086","5","25-FEB-2009","0500106008"
"10938","","Human","00790109","POTASS CHLORIDE 5% DEXTR 0.45% SOD CHLOR INJ","","N","71087","3","08-SEP-2004","0300097012"
"10939","","Human","00800007","TIS-U-SOL SOLUTION","","N","71088","5","16-JUN-2006","0515394001"
"10940","","Human","00849669","RATIO-TOPILENE","","N","71100","1","29-APR-2015","0106299003"
"10941","","Human","00809187","RATIO-TOPISONE","","N","71101","1","29-APR-2015","0106299002"
"10947","","Human","00884332","ZOCOR","","N","71109","1","05-MAY-2015","0122415004"
"10949","","Human","00869007","TEVA-PINDOLOL","","N","71111","1","05-MAY-2015","0112362001"
"10950","","Human","00869015","TEVA-PINDOLOL","","N","71112","1","05-MAY-2015","0112362003"
"10951","","Human","00869023","TEVA-PINDOLOL","","N","71113","1","24-AUG-2015","0112362002"
"10952","","Human","00891800","DIFLUCAN TAB 50MG","","N","71114","1","13-SEP-2005","0122529001"
"10953","","Human","00891819","DIFLUCAN TAB 100MG","","N","71115","1","29-JUN-2005","0122529002"
"10954","","Human","00891835","DIFLUCAN INJ 2MG/ML","","N","71116","1","28-JUL-2015","0122529003"
"10958","","Veterinary","00786381","BEXCO ACTH","CORTICOTROPIN INJECTION","N","71121","1","12-JAN-2012","0106360001"
"10971","","Human","00778915","TOBRADEX OPH OINTMENT","","N","71136","2","25-JUL-2005","0220325001"
"10975","","Human","00765104","PMS-DOCUSATE SODIUM","","N","71141","1","26-MAY-2015","0104351006"
"10976","","Human","00792659","PMS-CHLORAL HYDRATE SYRUP 100MG/ML","","N","71142","1","18-SEP-2006","0101992002"
"10977","","Human","00811874","PMS-LIDOCAINE VISCOUS 2%","","N","71143","1","14-JUL-2014","0101280001"
"10986","","Human","00870196","TEVA-DOCUSATE SODIUM","","N","71156","1","24-AUG-2015","0104351002"
"10995","","Human","00872881","PMS-GENTAMICIN OINTMENT 1MG/GM","","N","71172","1","11-SEP-2000","0105695001"
"10999","","Human","00800686","Z-PLUS SHAMPOO","","N","71184","2","13-JUL-2011","0220841001"
"11001","","Human","00800821","EXPECTORANT SYRUP","","N","71187","1","29-APR-2015","0103181002"
"11003","","Veterinary","00877190","WOUND SPRAY","TOPICAL SPRAY SOLUTION","N","71192","2","30-APR-2015","0209077001"
"11004","","Veterinary","00805475","XYLAMAX INJECTION 100MG/ML","","N","71193","1","29-APR-2004","0131307001"
"11011","","Human","00783900","PMS-DEXAMETHASONE SOD PHOSPHATE INJ 10MG/ML","","N","71202","1","20-SEP-2006","0106305005"
"11012","","Veterinary","00896454","UNI-BOL","","N","71207","3","26-JUL-2006","0312018001"
"11014","","Veterinary","00824186","ZINC BACITRACIN POWDER 110GM/KG","","N","71209","1","01-SEP-1999","0105861001"
"11016","","Veterinary","00812293","TEAT KLEEN","","N","71213","1","31-OCT-2014","0118448002"
"11025","","Human","00852015","ENTROPHEN ECT 500MG","","N","71223","1","15-NOV-2013","0101169012"
"11026","","Veterinary","00717150","EQVALAN LIQUID FOR HORSES","IVERMECTIN","N","71224","1","05-MAY-2015","0124785002"
"11027","","Human","00511021","SEDATUSS DM SIROP 15MG/5ML","","N","71227","1","12-APR-1999","0100807001"
